country_name,region,gdp,year
Lesotho,Africa,"2,507",2022
Curaçao,Americas,—,"2,700"
Central African Republic,Africa,"2,488",2022
East Timor,Asia,"2,455",2022
Eritrea,Africa,"2,369",2022
Gambia,Africa,"2,172",2022
Cape Verde,Africa,"2,053",2022
Seychelles,Africa,"2,005",2022
Saint Lucia,Americas,"1,972",2022
Zanzibar,Africa,—,—
Antigua and Barbuda,Americas,"1,692",2022
Guinea-Bissau,Africa,"1,624",2022
San Marino,Europe,"1,623",2022
Solomon Islands,Oceania,"1,601",2022
British Virgin Islands,Americas,—,—
Comoros,Africa,"1,242",2022
Grenada,Americas,"1,192",2022
Northern Mariana Islands,Oceania,—,"1,182"
Saint Kitts and Nevis,Americas,"1,115",2022
Vanuatu,Oceania,984,2022
Saint Vincent and the Grenadines,Americas,948,2022
Turks and Caicos Islands,Americas,—,943
Sint Maarten,Americas,—,"1,186"
Samoa,Oceania,830,2022
American Samoa,Oceania,—,709
Dominica,Americas,599,2022
São Tomé and Príncipe,Africa,506,2022
Tonga,Oceania,501,2022
Micronesia,Oceania,428,2022
Cook Islands,Oceania,—,—
Marshall Islands,Oceania,271,2022
Anguilla,Americas,—,—
Palau,Oceania,226,2022
Kiribati,Oceania,207,2022
Nauru,Oceania,134,2022
Montserrat,Americas,—,—
Tuvalu,Oceania,64,2022
